AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.027,-0.189,0.949,,,,,
0.01,-0.195,0.957,,,,,
0.02,-0.201,0.986,,,,,
0.031,-0.199,0.967,,,,,
0.035,-0.186,0.965,,,,,
0.014,-0.195,0.951,,,,,
0.016,-0.195,0.98,,,,,
0.025,-0.207,0.971,,,,,
0.037,-0.188,0.975,,,,,
0.031,-0.193,0.959,,,,,
0.014,-0.191,0.967,,,,,
0.023,-0.203,0.982,,,,,
0.035,-0.199,0.973,,,,,
0.035,-0.186,0.959,,,,,
0.01,-0.195,0.943,,,,,
0.016,-0.197,0.984,,,,,
0.025,-0.211,0.971,,,,,
0.035,-0.195,0.973,99999,99.9,100,177,2
0.023,-0.191,0.947,,,,,
0.01,-0.193,0.965,,,,,
0.025,-0.209,0.982,,,,,
0.031,-0.197,0.973,,,,,
0.031,-0.189,0.963,,,,,
0.014,-0.191,0.941,,,,,
0.018,-0.195,0.994,,,,,
0.033,-0.205,0.975,,,,,
0.035,-0.189,0.965,,,,,
0.018,-0.191,0.953,,,,,
0.012,-0.197,0.965,,,,,
0.021,-0.215,0.986,,,,,
0.033,-0.191,0.965,,,,,
0.033,-0.178,0.953,,,,,
0.01,-0.195,0.959,,,,,
0.018,-0.205,0.99,,,,,
0.029,-0.207,0.969,,,,,
0.035,-0.191,0.975,99999,99.9,100,353,2
0.025,-0.189,0.945,,,,,
0.014,-0.191,0.98,,,,,
0.027,-0.203,0.98,,,,,
0.033,-0.195,0.969,,,,,
0.027,-0.193,0.957,,,,,
0.01,-0.195,0.955,,,,,
0.02,-0.201,0.984,,,,,
0.029,-0.203,0.963,,,,,
0.037,-0.186,0.971,,,,,
0.016,-0.195,0.961,,,,,
0.012,-0.193,0.973,,,,,
0.023,-0.209,0.969,,,,,
0.037,-0.189,0.963,,,,,
0.031,-0.188,0.959,,,,,
0.012,-0.193,0.957,,,,,
0.021,-0.199,0.986,,,,,
0.029,-0.203,0.969,,,,,
0.031,-0.191,0.965,99999,99.9,100,529,2
0.016,-0.193,0.945,,,,,
0.014,-0.195,0.977,,,,,
0.025,-0.209,0.975,,,,,
0.035,-0.191,0.971,,,,,
0.027,-0.193,0.945,,,,,
0.01,-0.191,0.965,,,,,
0.02,-0.209,0.984,,,,,
0.033,-0.201,0.963,,,,,
0.029,-0.188,0.959,,,,,
0.014,-0.189,0.947,,,,,
0.021,-0.201,0.986,,,,,
0.027,-0.209,0.98,,,,,
0.039,-0.189,0.965,,,,,
0.025,-0.186,0.951,,,,,
0.01,-0.195,0.967,,,,,
0.023,-0.213,0.984,,,,,
0.031,-0.199,0.965,,,,,
0.031,-0.189,0.957,99999,99.9,100,705,2
0.01,-0.191,0.947,,,,,
0.016,-0.199,0.986,,,,,
0.031,-0.207,0.965,,,,,
0.033,-0.189,0.967,,,,,
0.021,-0.199,0.951,,,,,
0.012,-0.191,0.967,,,,,
0.023,-0.203,0.98,,,,,
0.035,-0.191,0.957,,,,,
0.029,-0.186,0.961,,,,,
0.014,-0.197,0.963,,,,,
0.021,-0.201,0.982,,,,,
0.027,-0.207,0.969,,,,,
0.037,-0.184,0.969,,,,,
