,0,dt,2,Alt,Latitude,Longitude,Speed,Course,Satellites,N Sat,g1,g2,g3
0,10,2024-07-02 15:30:29.748,2,19302980,30.256791,-84.193237,8.56,325.74,AAAN,9,1.17,536,-29.6
1,10,2024-07-02 15:30:29.959,2,19303000,30.256795,-84.19324,8.53,325.99,AAAN,9,1.17,537,-29.6
2,10,2024-07-02 15:30:30.152,2,19303020,30.256799,-84.193243,8.48,327.51,AAAN,9,1.17,537,-29.6
3,10,2024-07-02 15:30:30.349,2,19303040,30.256803,-84.193247,8.51,328.51,AAAN,9,1.17,537,-29.6
4,10,2024-07-02 15:30:30.548,2,19303060,30.256807,-84.19325,8.49,326.82,AAAN,9,1.17,537,-29.6
5,10,2024-07-02 15:30:30.748,2,19303080,30.256811,-84.193253,8.52,325.45,AAAN,9,1.34,537,-29.6
6,10,2024-07-02 15:30:30.950,2,19303100,30.256815,-84.193257,8.56,325.40,AAAN,9,1.34,537,-29.6
7,10,2024-07-02 15:30:31.150,2,19303120,30.256819,-84.19326,8.75,324.16,AAAN,9,1.34,537,-29.6
8,10,2024-07-02 15:30:31.349,2,19303140,30.256823,-84.193263,8.73,324.09,AAAN,9,1.34,537,-29.6
9,10,2024-07-02 15:30:31.548,2,19303160,30.256827,-84.193267,8.73,323.40,AAAN,9,1.34,537,-29.6
10,10,2024-07-02 15:30:31.747,2,19303180,30.256831,-84.19327,8.76,323.66,AAAN,9,1.34,537,-29.6
11,10,2024-07-02 15:30:31.957,2,19303200,30.256835,-84.193273,8.83,323.67,AAAN,9,1.34,537,-29.6
12,10,2024-07-02 15:30:32.149,2,19303220,30.256839,-84.193277,8.86,323.73,AAAN,9,1.34,537,-29.6
13,10,2024-07-02 15:30:32.351,2,19303240,30.256843,-84.19328,9.07,322.48,AAAN,9,1.34,538,-29.6
14,10,2024-07-02 15:30:32.548,2,19303260,30.256847,-84.193284,9.02,322.64,AAAN,9,1.34,537,-29.6
15,10,2024-07-02 15:30:32.750,2,19303280,30.256851,-84.193287,9.01,322.37,AAAN,9,1.34,537,-29.6
16,10,2024-07-02 15:30:32.952,2,19303300,30.256855,-84.193291,9.08,321.99,AAAN,9,1.34,537,-29.6
17,10,2024-07-02 15:30:33.148,2,19303320,30.256859,-84.193295,9.09,321.37,AAAN,9,1.34,537,-29.6
18,10,2024-07-02 15:30:33.349,2,19303340,30.256863,-84.193298,9.13,320.84,AAAN,9,1.34,537,-29.6
19,10,2024-07-02 15:30:33.548,2,19303360,30.256867,-84.193302,9.14,319.71,AAAN,9,1.34,537,-29.6
20,10,2024-07-02 15:30:33.749,2,19303380,30.256871,-84.193306,9.18,319.74,AAAN,9,1.34,537,-29.6
21,10,2024-07-02 15:30:33.951,2,19303400,30.256875,-84.19331,9.18,320.49,AAAN,9,1.34,537,-29.6
22,10,2024-07-02 15:30:34.152,2,19303420,30.256879,-84.193313,8.85,319.42,AAAN,9,1.34,537,-29.6
